text,label,meta,context,source,target
A group of British lawmakers has called for sanctions against Chinese officials responsible for human rights violations against the Uighur minority and for trade restrictions on goods made with forced Uighur labor.,ACCUSE,PLOVER event record.|PLV|split=train|sentence_id=35,,group of British lawmakers,Chinese officials
"Russia is willing to withdraw its troops from East Germany and Poland as long as Western Allied troops in turn withdraw to 500 miles west of the Elbe, that is behind the Rhine.",AGREE,PLOVER event record.|PLV|split=train|sentence_id=3,,Russia,East Germany and Poland
The German government has agreed to offer another large aid package to the cultural sector as part of its New Start for Culture program.,AGREE,PLOVER event record.|PLV|split=train|sentence_id=12,,German government,cultural sector
Jordan and Britain have agreed to undertake joint military exercises this month but insisted that the maneuvers were in no way linked to neighbouring Iraq.,AGREE,PLOVER event record.|PLV|split=train|sentence_id=23,,Jordan,Britain
"Kuwait and its gulf war allies agreed to stage a joint command exercise, the largest one since december 1991, a senior military official announced today.",AGREE,PLOVER event record.|PLV|split=train|sentence_id=39,,Kuwait,its gulf war allies
"Ethiopia said it would allow the World Food Program (WFP) to deliver food to some 1 million people, including in hard-to-reach rural areas.",AGREE,PLOVER event record.|PLV|split=train|sentence_id=40,,Ethiopia,World Food Program (WFP)
At a meeting the strikers accepted a formula for settling a piecework dispute with the Austin-Morris company.,AGREE,PLOVER event record.|PLV|split=train|sentence_id=43,,strikers,Austin-Morris company
"Palestinian factions have agreed to lay down their weapons in eastern Lebanon, but linked their disarmament to the disbanding of Lebanese militias.",AGREE,PLOVER event record.|PLV|split=train|sentence_id=61,,Palestinian factions,eastern Lebanon
Trump and Putin have agreed to share information on North Korea.,AGREE,PLOVER event record.|PLV|split=train|sentence_id=78,,Trump,Putin
"As a gesture of sincerity and confidence building, the coalition forces and the Afghan government will release Taliban political prisoners on humanitarian grounds and those who could not be convicted will be released unconditionally.",AGREE,PLOVER event record.|PLV|split=train|sentence_id=81,,coalition forces and the Afghan government,Taliban political prisoners
France agreed to open its borders to German industrial products in return for support of French agriculture.,AGREE,PLOVER event record.|PLV|split=train|sentence_id=106,,France,German industrial products
Adil Abdul Mahdi has agreed to resign from Iraqi Prime Minister position after weeks of anti-government protests that led to hundreds of casualties.,AGREE,PLOVER event record.|PLV|split=train|sentence_id=111,,Adil Abdul Mahdi,Iraqi Prime Minister position
Nearly 70 countries have agreed to share information from their banks as part of a U.S. law that targets Americans hiding assets overseas.,AGREE,PLOVER event record.|PLV|split=train|sentence_id=113,,Nearly 70 countries,U.S.
Honduras is willing to withdraw its troops from a five kilometer zone along the border.,AGREE,PLOVER event record.|PLV|split=train|sentence_id=127,,Honduras,five kilometer zone along the border
"The United States is ready to contribute air support to an African Union peacekeeping force in Somalia, a leading official has said.",AGREE,PLOVER event record.|PLV|split=train|sentence_id=131,,United States,Somalia
Syria has agreed to allow access of United Nations aid workers to deliver aid to 12 besieged areas during the month of June.,AGREE,PLOVER event record.|PLV|split=train|sentence_id=138,,Syria,United Nations aid workers
Rebel fighters in the Deraa countryside said they will lay down their weapons and accept state rule last Friday.,AGREE,PLOVER event record.|PLV|split=train|sentence_id=140,,Rebel fighters,Deraa countryside
"Italy has offered to US an armored regiment, attack helicopters and fighter jets, and is expected to make four warships available.",AID,PLOVER event record.|PLV|split=train|sentence_id=145,,Italy,US
United States is willing to provide a third $1-billion loan guarantee to Ukraine that would be contingent upon Ukraine's continued progress on corruption and tax reform.,AGREE,PLOVER event record.|PLV|split=train|sentence_id=157,,United States,Ukraine
"President Reagan, in a meeting last March in Washington with Canadian Prime Minister Brian Mulroney, agreed to a five-year, $5-billion program aimed at developing technology to eliminate sulfur dioxide.",AGREE,PLOVER event record.|PLV|split=train|sentence_id=164,,President Reagan,Canadian Prime Minister Brian Mulroney
United States is willing to withdraw its troops from South Vietnam,AGREE,PLOVER event record.|PLV|split=train|sentence_id=175,,United States,South Vietnam
"The ELN has said it will release Odin Sanchez, a former Colombian Congressman the rebels have held since April 2016.",AGREE,PLOVER event record.|PLV|split=train|sentence_id=178,,ELN,Odin Sanchez
"Yang Jiechi, the State Councillor of China, will host the meeting of BRICS High Representatives responsible for National Security in Beijing on Thursday and Friday.",AGREE,PLOVER event record.|PLV|split=train|sentence_id=208,,"Yang Jiechi, the State Councillor of China",BRICS High Representatives
"Egypt is willing to withdraw its troops if it can retain a civil administration in Gaza, El Auja and Faluja.",AGREE,PLOVER event record.|PLV|split=train|sentence_id=217,,Egypt,Gaza
Burma has agreed to allow international aid into the areas devastated by Cyclone Nargis.,AGREE,PLOVER event record.|PLV|split=train|sentence_id=225,,Burma,areas devastated by Cyclone Nargis
"Australia has agreed to lend up to $1 billion to Indonesia to aid the country's COVID-19 recovery, the latest in a line of measures designed to bolster Canberra's relationships with its Southeast Asian and Pacific neighbors.",AGREE,PLOVER event record.|PLV|split=train|sentence_id=272,,Australia,Indonesia
Japanese and the Australian armies have agreed to undertake joint military exercises.,AGREE,PLOVER event record.|PLV|split=train|sentence_id=275,,Japanese,Australian armies
Farc has said it will release the Colombian Sergeant Pablo Emilio Moncayo.,AGREE,PLOVER event record.|PLV|split=train|sentence_id=283,,Farc,Colombian Sergeant Pablo Emilio Moncayo
President Obama has offered to send troops to Uganda and neighboring countries to help African troops pursue members of the Lord's Resistance Army.,AGREE,PLOVER event record.|PLV|split=train|sentence_id=297,,President Obama,Uganda
Vladimir Putin have agreed to a ceasefire in eastern Ukraine.,AGREE,PLOVER event record.|PLV|split=train|sentence_id=357,,Vladimir Putin,eastern Ukraine
"The French president will join forces with the ALDE group, which is led by the former Belgian prime minister and outspoken federalist Guy Verhofstadt.",AGREE,PLOVER event record.|PLV|split=train|sentence_id=366,,French president,ALDE group
Reliance Jio has agreed to set up a cable landing station at Digha.,AGREE,PLOVER event record.|PLV|split=train|sentence_id=391,,Reliance Jio,Digha
Mayor Dayton King agreed to resign from Gloversville office today by 5 p.m. in City Court as part of a plea agreement.,AGREE,PLOVER event record.|PLV|split=train|sentence_id=400,,Mayor Dayton King,Gloversville office
"China has agreed to lift a ban on imports of British beef that was imposed over a BSE crisis in the 1990s, finance minister Philip Hammond said on Wednesday.",AGREE,PLOVER event record.|PLV|split=train|sentence_id=442,,China,British beef
"Germany agreed to accept more than 1,500 people now living in Greek refugee camps.",AGREE,PLOVER event record.|PLV|split=train|sentence_id=450,,Germany,Greek refugee camps
"In January, the Belarussian defense minister, Leonid Maltsev, agreed with his Iranian counterpart, Mostafa Mohammad Najjar, to exchange technology in the military sector.",AGREE,PLOVER event record.|PLV|split=train|sentence_id=454,,"Belarussian defense minister, Leonid Maltsev",Mostafa Mohammad Najjar
"The UNICEF's official reiterated the commitment of the organization to collaborate government, humanitarian and development organizations to ensure the protection of children's rights in the war-torn region.",AGREE,PLOVER event record.|PLV|split=train|sentence_id=492,,UNICEF's official,"government, humanitarian and development organizations"
President Donald Trump has agreed to set up two 250-bed field hospitals and a 60-person strike team of health workers in Louisiana.,AGREE,PLOVER event record.|PLV|split=train|sentence_id=494,,President Donald Trump,Louisiana
The top U.S. diplomat and Iranian Foreign Minister Mohammad Javad Zarif will attend Saturday's meeting of the 10-nation Association of Southeast Asian Nations.,AGREE,PLOVER event record.|PLV|split=train|sentence_id=496,,top U.S. diplomat,Iranian Foreign Minister Mohammad Javad Zarif
U.S. President Donald Trump had agreed to lift sanctions against the North and provide security guarantees in the summit with the North's leader.,AGREE,PLOVER event record.|PLV|split=train|sentence_id=504,,U.S. President Donald Trump,North
Prime Minister Andrej Babis agreed to resign on January 17 after the minority cabinet lost a confidence vote a day earlier.,AGREE,PLOVER event record.|PLV|split=train|sentence_id=513,,Prime Minister Andrej Babis,recipient
